Sex,Age,Embarked,Survived
male,,S,0
male,7,Q,0
female,35,S,1
male,65,Q,0
male,28,S,0
male,16,S,0
male,19,S,1
male,,S,0
male,33,C,0
male,30,S,1
male,22,S,0
male,42,S,1
female,22,Q,1
female,26,S,1
female,19,C,1
male,36,C,0
female,24,S,0
male,24,S,0
male,,C,0
male,235,C,0
female,2,S,0
male,,S,1
female,50,C,1
female,,Q,1
male,,Q,1
male,19,S,0
female,,Q,1
male,,S,0
male,92,S,1
female,,C,1
female,17,C,1
male,30,C,0
female,30,C,1
female,24,C,1
female,18,C,1
female,26,S,0
male,28,S,0
male,43,S,0
female,26,S,1
female,24,S,1
male,54,S,0
female,31,S,1
female,40,C,1
male,22,S,0
male,27,S,0
female,30,Q,1
female,22,S,1
male,,S,0
female,36,C,1
male,61,S,0
female,36,S,1
female,31,S,1
female,16,C,1
female,,Q,1
male,455,S,0
male,38,S,0
male,16,S,0
female,,S,1
male,,S,0
male,29,S,0
female,41,C,1
male,45,S,1
male,45,S,0
male,2,S,1
female,24,S,1
male,28,S,0
male,25,S,0
male,36,S,0
female,24,S,1
female,40,S,1
female,,S,1
male,3,S,1
male,42,S,0
male,23,S,0
male,,S,0
male,15,C,0
male,25,S,0
male,,C,0
male,28,S,0
female,22,S,1
female,38,S,0
female,,Q,1
female,,Q,1
male,40,S,0
male,29,C,0
female,45,C,0
male,35,S,0
male,,Q,0
male,30,S,0
female,60,C,1
female,,C,1
female,,Q,1
female,24,C,1
male,25,C,1
male,18,S,0
male,19,S,0
male,22,C,0
female,3,S,0
female,,C,1
female,22,S,1
male,27,C,0
male,20,C,0
male,19,S,0
female,42,C,1
female,1,C,1
male,32,S,0
female,35,S,1
male,,S,0
male,18,S,0
male,1,S,0
female,36,S,1
male,,Q,0
female,17,C,1
male,36,S,1
male,21,S,1
male,28,S,0
female,23,C,1
female,24,S,1
male,22,S,0
female,31,S,0
male,46,S,0
male,23,S,0
female,28,S,1
male,39,S,1
male,26,S,0
female,21,S,0
male,28,S,0
female,20,S,0
male,34,S,0
male,51,S,0
male,3,S,1
male,21,S,0
female,,S,0
male,,S,0
male,,Q,0
female,33,Q,1
male,,S,0
male,44,S,1
female,,S,0
female,34,S,1
female,18,S,1
male,30,S,0
female,10,S,0
male,,C,0
male,21,Q,0
male,29,S,0
female,28,S,0
male,18,S,0
male,,S,0
female,28,S,1
female,19,S,1
male,,Q,0
male,32,S,1
male,28,S,1
female,,S,1
female,42,S,1
male,17,S,0
male,50,S,0
female,14,S,1
female,21,S,0
female,24,S,1
male,64,S,0
male,31,S,0
female,45,S,1
male,20,S,0
male,25,S,0
female,28,S,1
male,,S,1
male,4,S,1
female,13,S,1
male,34,S,1
female,5,C,1
male,52,S,1
male,36,S,0
male,,S,0
male,30,C,0
male,49,C,1
male,,S,0
male,29,C,1
male,65,S,0
female,,S,1
female,50,S,1
male,,Q,0
male,48,S,1
male,34,S,0
male,47,S,0
male,48,S,0
male,,S,0
male,38,S,0
male,,S,0
male,56,S,0
male,,Q,0
female,75,C,1
male,,S,0
male,38,S,0
female,33,S,1
female,23,C,1
female,22,S,0
male,,S,0
male,34,S,0
male,29,S,0
male,22,S,0
female,2,S,1
male,9,S,0
male,,S,0
male,50,S,0
female,63,S,1
male,25,C,1
female,,S,0
female,35,S,1
male,58,C,0
male,30,S,0
male,9,S,1
male,,S,0
male,21,S,0
male,55,S,0
male,71,C,0
male,21,S,0
male,,C,0
female,54,C,1
male,,S,0
female,25,S,0
male,24,S,0
male,17,S,0
female,21,Q,0
female,,Q,0
female,37,S,0
female,16,S,1
male,18,C,0
female,33,S,1
male,,S,1
male,28,S,0
male,26,S,1
male,29,Q,1
male,,S,0
male,36,S,1
female,54,C,1
male,24,S,0
male,47,S,0
female,34,S,1
male,,Q,0
female,36,S,1
male,32,S,0
female,30,S,1
male,22,S,0
male,,C,0
female,44,C,1
male,,C,0
male,405,Q,0
female,50,S,1
male,,S,0
male,39,S,0
male,23,S,0
female,2,S,1
male,,C,0
male,17,C,0
female,,C,1
female,30,S,0
female,7,S,1
male,45,S,0
female,30,C,1
male,,S,0
female,22,C,1
female,36,S,1
female,9,S,0
female,11,S,0
male,32,S,1
male,50,C,0
male,64,S,0
female,19,S,1
male,,C,1
male,33,S,0
male,8,S,1
male,17,C,1
male,27,S,0
male,,Q,0
male,22,C,1
female,22,S,1
male,62,S,0
female,48,C,1
male,,C,0
female,39,S,1
female,36,S,1
male,,Q,0
male,40,S,0
male,28,S,0
male,,S,0
female,,S,0
male,24,S,0
male,19,S,0
female,29,S,0
male,,C,0
male,32,S,1
male,62,S,1
female,53,S,1
male,36,S,1
female,,Q,1
male,16,S,0
male,19,S,0
female,34,S,1
female,39,S,1
female,,C,0
male,32,S,1
female,25,S,1
female,39,C,1
male,54,S,0
male,36,C,0
male,,C,0
female,18,S,1
male,47,S,0
male,60,C,1
male,22,S,0
male,,S,0
male,35,S,0
female,52,C,1
male,47,S,0
female,,Q,0
male,37,S,0
male,36,S,0
female,,S,1
male,49,S,0
male,,C,0
male,49,C,1
female,24,S,1
male,,S,0
male,,S,0
male,44,S,0
male,35,C,1
male,36,S,0
male,30,S,0
male,27,S,1
female,22,C,1
female,40,S,1
female,39,S,0
male,,S,0
female,,Q,1
male,,Q,0
male,35,S,0
female,24,S,1
male,34,S,0
female,26,S,0
female,4,S,1
male,26,S,0
male,27,C,0
male,42,S,1
male,20,C,1
male,21,S,0
male,21,S,0
male,61,S,0
male,57,Q,0
female,21,S,1
male,26,S,0
male,,Q,0
male,80,S,1
male,51,S,0
male,32,C,1
male,,S,0
female,9,S,0
female,28,S,1
male,32,S,0
male,31,S,0
female,41,S,0
male,,S,0
male,20,S,0
female,24,C,1
female,2,S,0
male,,S,1
female,75,C,1
male,48,C,1
male,19,S,0
male,56,C,1
male,,S,0
female,23,S,1
male,,S,0
female,18,S,1
male,21,S,0
female,,Q,1
female,18,Q,0
male,24,S,0
male,,S,0
female,32,Q,0
male,23,S,0
male,58,C,0
male,50,S,1
male,40,C,0
male,47,S,0
male,36,S,0
male,20,S,1
male,32,S,0
male,25,S,0
male,,S,0
male,43,S,0
female,,S,1
female,40,S,1
male,31,S,0
male,70,S,0
male,31,S,1
male,,S,0
male,18,S,0
male,245,S,0
female,18,S,1
female,43,S,0
male,36,C,1
female,,Q,0
male,27,C,1
male,20,S,0
male,14,S,0
male,60,S,0
male,25,C,0
male,14,S,0
male,19,S,0
male,18,S,0
female,15,S,1
male,31,S,1
female,4,C,1
male,,S,1
male,25,C,0
male,60,S,0
male,52,S,0
male,44,S,0
female,,Q,1
male,49,C,0
male,42,S,0
female,18,C,1
male,35,S,1
female,18,C,0
male,25,Q,0
male,26,S,0
male,39,S,0
female,45,S,1
male,42,S,1
female,22,S,1
male,,C,1
female,24,C,1
male,,S,0
male,48,S,1
male,29,S,0
male,52,S,0
male,19,S,0
female,38,C,1
female,27,S,1
male,,Q,0
male,33,S,0
female,6,S,1
male,17,S,0
male,34,S,0
male,50,S,0
male,27,S,1
male,20,S,0
female,30,S,1
female,,Q,1
male,25,S,0
female,25,S,0
female,29,S,1
male,11,C,0
male,,S,0
male,23,S,0
male,23,S,0
male,285,S,0
female,48,S,0
male,35,C,1
male,,S,0
male,,S,0
male,,S,1
male,36,S,0
female,21,C,1
male,24,S,0
male,31,S,1
male,70,S,0
male,16,S,0
female,30,S,1
male,19,S,0
male,31,Q,0
female,4,S,1
male,6,S,1
male,33,S,0
male,23,S,0
female,48,S,1
male,67,S,1
male,28,S,0
male,18,S,0
male,34,S,0
female,33,S,1
male,,S,0
male,41,S,0
male,20,C,1
female,36,S,1
male,16,S,0
female,51,S,1
male,,C,0
female,305,Q,0
male,,Q,0
male,32,S,0
male,24,S,0
male,48,S,0
female,57,S,0
male,,C,0
female,54,S,1
male,18,S,0
male,,Q,0
female,5,S,1
male,,Q,0
female,43,S,1
female,13,C,1
female,17,S,1
male,29,S,0
male,,S,0
male,25,S,0
male,25,S,0
female,18,S,1
male,8,Q,0
male,1,S,1
male,46,C,0
male,,Q,0
male,16,S,0
female,,S,0
male,,C,0
male,25,S,0
male,39,S,0
female,49,S,1
female,31,S,1
male,30,C,0
female,30,S,0
male,34,S,0
female,31,S,1
male,11,S,1
male,42,C,1
male,27,S,1
male,31,S,0
male,39,S,0
female,18,S,0
male,39,S,0
female,33,S,1
male,26,S,0
male,39,S,0
male,35,S,0
female,6,S,0
male,305,S,0
male,,S,0
female,23,S,0
male,31,C,0
male,43,S,0
male,10,S,0
female,52,S,1
male,27,S,1
male,38,S,0
female,27,S,1
male,2,S,0
male,,Q,0
male,,S,0
male,1,C,1
male,,Q,1
female,62,,1
female,15,C,1
male,83,S,1
male,,C,0
male,23,S,0
male,18,S,0
female,39,C,1
male,21,S,0
male,,S,0
male,32,S,1
male,,C,1
male,20,S,0
male,16,S,0
female,30,C,1
male,345,C,0
male,17,S,0
male,42,S,0
male,,S,0
male,35,C,0
male,28,S,0
female,,C,1
male,4,S,0
male,74,S,0
female,9,C,0
female,16,S,1
female,44,S,0
female,18,S,1
female,45,S,1
male,51,S,1
female,24,C,1
male,,C,0
male,41,S,0
male,21,S,0
female,48,S,1
female,,S,0
male,24,S,0
female,42,S,1
female,27,C,1
male,31,S,0
male,,S,0
male,4,S,1
male,26,S,0
female,47,S,1
male,33,S,0
male,47,S,0
female,28,C,1
female,15,C,1
male,20,S,0
male,19,S,0
male,,S,0
female,56,C,1
female,25,S,1
male,33,S,0
female,22,S,0
male,28,S,0
male,25,S,0
female,39,Q,0
male,27,S,0
female,19,S,1
female,,S,0
male,26,C,1
male,32,Q,0
